Subject,Condition,Time,FAA
VPEEG_SB_112_20240627_1338_csd,FrTT,0 to 1000,0.006842912
VPEEG_SB_112_20240627_1338_csd,EnTT,-1000 to 0,0.006553684
VPEEG_SB_112_20240627_1338_csd,EnTT,0 to 1000,0.001942507
VPEEG_SB_113_20240628_1426_csd,FrTT,-1000 to 0,-0.010189266
VPEEG_SB_113_20240628_1426_csd,FrTT,0 to 1000,-0.03051874
VPEEG_SB_113_20240628_1426_csd,EnTT,-1000 to 0,-0.013394508
VPEEG_SB_113_20240628_1426_csd,EnTT,0 to 1000,-0.036020349
VPEEG_SB_114_20240630_1207_csd,FrTT,-1000 to 0,0.012261113
VPEEG_SB_114_20240630_1207_csd,FrTT,0 to 1000,0.008228732
VPEEG_SB_114_20240630_1207_csd,EnTT,-1000 to 0,0.008727875
VPEEG_SB_114_20240630_1207_csd,EnTT,0 to 1000,-0.001462318
VPEEG_SB_115_20240701_1130_csd,FrTT,-1000 to 0,0.012791691
VPEEG_SB_115_20240701_1130_csd,FrTT,0 to 1000,0.013886707
VPEEG_SB_115_20240701_1130_csd,EnTT,-1000 to 0,0.009821201
VPEEG_SB_115_20240701_1130_csd,EnTT,0 to 1000,0.002291227
VPEEG_SB_116_20240702_1207_csd,FrTT,-1000 to 0,-0.016339808
VPEEG_SB_116_20240702_1207_csd,FrTT,0 to 1000,0.003306117
VPEEG_SB_116_20240702_1207_csd,EnTT,-1000 to 0,-0.015761275
VPEEG_SB_116_20240702_1207_csd,EnTT,0 to 1000,-0.01295938
VPEEG_SB_117_20240713_1346_csd,FrTT,-1000 to 0,-0.009632503
VPEEG_SB_117_20240713_1346_csd,FrTT,0 to 1000,-0.03436517
VPEEG_SB_117_20240713_1346_csd,EnTT,-1000 to 0,-0.020974315
VPEEG_SB_117_20240713_1346_csd,EnTT,0 to 1000,-0.031565691
VPEEG_SB_118_20240713_1427_csd,FrTT,-1000 to 0,-0.003460691
VPEEG_SB_118_20240713_1427_csd,FrTT,0 to 1000,0.005874406
VPEEG_SB_118_20240713_1427_csd,EnTT,-1000 to 0,-0.000286272
VPEEG_SB_118_20240713_1427_csd,EnTT,0 to 1000,-0.008426563
VPEEG_SB_119_20240717_1113_csd,FrTT,-1000 to 0,0.004670082
VPEEG_SB_119_20240717_1113_csd,FrTT,0 to 1000,0.023643662
VPEEG_SB_119_20240717_1113_csd,EnTT,-1000 to 0,0.010187722
VPEEG_SB_119_20240717_1113_csd,EnTT,0 to 1000,0.002202435
VPEEG_SB_120_20240717_1256_csd,FrTT,-1000 to 0,-0.002606423
VPEEG_SB_120_20240717_1256_csd,FrTT,0 to 1000,-0.021207596
VPEEG_SB_120_20240717_1256_csd,EnTT,-1000 to 0,0.00220191
VPEEG_SB_120_20240717_1256_csd,EnTT,0 to 1000,-0.003073441
VPEEG_SB_121_20240718_1042_csd,FrTT,-1000 to 0,0.001815194
VPEEG_SB_121_20240718_1042_csd,FrTT,0 to 1000,0.00786199
VPEEG_SB_121_20240718_1042_csd,EnTT,-1000 to 0,0.007725462
VPEEG_SB_121_20240718_1042_csd,EnTT,0 to 1000,-0.001988145
VPEEG_SB_122_20240719_1347_csd,FrTT,-1000 to 0,0.001487458
VPEEG_SB_122_20240719_1347_csd,FrTT,0 to 1000,0.008502068
VPEEG_SB_122_20240719_1347_csd,EnTT,-1000 to 0,-0.011386185
VPEEG_SB_122_20240719_1347_csd,EnTT,0 to 1000,-0.002451576
VPEEG_SB_123_20240720_1225_csd,FrTT,-1000 to 0,-0.00344593
VPEEG_SB_123_20240720_1225_csd,FrTT,0 to 1000,-0.002284902
VPEEG_SB_123_20240720_1225_csd,EnTT,-1000 to 0,-0.028846683
VPEEG_SB_123_20240720_1225_csd,EnTT,0 to 1000,-0.016013333
VPEEG_SB_18_20220629_1110_csd,FrTT,-1000 to 0,0.013176787
VPEEG_SB_18_20220629_1110_csd,FrTT,0 to 1000,0.015701762
VPEEG_SB_18_20220629_1110_csd,EnTT,-1000 to 0,0.012080635
VPEEG_SB_18_20220629_1110_csd,EnTT,0 to 1000,0.015898079
VPEEG_SB_19_20220701_0909_csd,FrTT,-1000 to 0,0.018975738
VPEEG_SB_19_20220701_0909_csd,FrTT,0 to 1000,0.005198708
VPEEG_SB_19_20220701_0909_csd,EnTT,-1000 to 0,0.046023265
VPEEG_SB_19_20220701_0909_csd,EnTT,0 to 1000,0.054076251
VPEEG_SB_20_20220804_1114_csd,FrTT,-1000 to 0,-0.024813317
VPEEG_SB_20_20220804_1114_csd,FrTT,0 to 1000,-0.025869165
VPEEG_SB_20_20220804_1114_csd,EnTT,-1000 to 0,-0.026204014
VPEEG_SB_20_20220804_1114_csd,EnTT,0 to 1000,-0.053255007
VPEEG_SB_21_20220810_1116_csd,FrTT,-1000 to 0,0.004279587
VPEEG_SB_21_20220810_1116_csd,FrTT,0 to 1000,-0.022417751
VPEEG_SB_21_20220810_1116_csd,EnTT,-1000 to 0,0.028755201
VPEEG_SB_21_20220810_1116_csd,EnTT,0 to 1000,0.012788692
VPEEG_SB_22_20220812_1116_csd,FrTT,-1000 to 0,-0.005096789
VPEEG_SB_22_20220812_1116_csd,FrTT,0 to 1000,-0.010219371
VPEEG_SB_22_20220812_1116_csd,EnTT,-1000 to 0,0.006582727
VPEEG_SB_22_20220812_1116_csd,EnTT,0 to 1000,-0.000537995
VPEEG_SB_25_20220818_1109_csd,FrTT,-1000 to 0,-2.56E-05
VPEEG_SB_25_20220818_1109_csd,FrTT,0 to 1000,-0.002209414
VPEEG_SB_25_20220818_1109_csd,EnTT,-1000 to 0,-0.003043464
VPEEG_SB_25_20220818_1109_csd,EnTT,0 to 1000,0.010183091
VPEEG_SB_26_20220820_0911_csd,FrTT,-1000 to 0,-0.016087781
VPEEG_SB_26_20220820_0911_csd,FrTT,0 to 1000,0.010329295
VPEEG_SB_26_20220820_0911_csd,EnTT,-1000 to 0,0.004254238
VPEEG_SB_26_20220820_0911_csd,EnTT,0 to 1000,-0.001491834
VPEEG_SB_28_20220902_1126_csd,FrTT,-1000 to 0,0.017750814
VPEEG_SB_28_20220902_1126_csd,FrTT,0 to 1000,0.023788577
VPEEG_SB_28_20220902_1126_csd,EnTT,-1000 to 0,0.011109085
VPEEG_SB_28_20220902_1126_csd,EnTT,0 to 1000,0.007151484
VPEEG_SB_29_20220916_1107_csd,FrTT,-1000 to 0,-0.037575276
VPEEG_SB_29_20220916_1107_csd,FrTT,0 to 1000,-0.035238414
VPEEG_SB_29_20220916_1107_csd,EnTT,-1000 to 0,-0.041341554
VPEEG_SB_29_20220916_1107_csd,EnTT,0 to 1000,-0.058155587
VPEEG_SB_32_20221004_1123_csd,FrTT,-1000 to 0,0.04933133
VPEEG_SB_32_20221004_1123_csd,FrTT,0 to 1000,0.038910855
VPEEG_SB_32_20221004_1123_csd,EnTT,-1000 to 0,0.023658276
VPEEG_SB_32_20221004_1123_csd,EnTT,0 to 1000,0.01823305
VPEEG_SB_34_20221008_1010_csd,FrTT,-1000 to 0,0.041300505
VPEEG_SB_34_20221008_1010_csd,FrTT,0 to 1000,0.037649565
VPEEG_SB_34_20221008_1010_csd,EnTT,-1000 to 0,0.031970391
VPEEG_SB_34_20221008_1010_csd,EnTT,0 to 1000,0.031773023
VPEEG_SB_35_20221101_1139_csd,FrTT,-1000 to 0,0.001905491
VPEEG_SB_35_20221101_1139_csd,FrTT,0 to 1000,-0.017555561
VPEEG_SB_35_20221101_1139_csd,EnTT,-1000 to 0,0.018669212
VPEEG_SB_35_20221101_1139_csd,EnTT,0 to 1000,0.01125953
VPEEG_SB_36_20221111_1124_csd,FrTT,-1000 to 0,0.025435229
VPEEG_SB_36_20221111_1124_csd,FrTT,0 to 1000,0.00745862
VPEEG_SB_36_20221111_1124_csd,EnTT,-1000 to 0,0.018870519
VPEEG_SB_36_20221111_1124_csd,EnTT,0 to 1000,0.019391764
VPEEG_SB_37_20221114_1009_csd,FrTT,-1000 to 0,-0.050160807
VPEEG_SB_37_20221114_1009_csd,FrTT,0 to 1000,-0.055100545
VPEEG_SB_37_20221114_1009_csd,EnTT,-1000 to 0,-0.05090179
VPEEG_SB_37_20221114_1009_csd,EnTT,0 to 1000,-0.029350893
VPEEG_SB_38_20221130_1452_csd,FrTT,-1000 to 0,0.010988959
VPEEG_SB_38_20221130_1452_csd,FrTT,0 to 1000,-0.055062047
VPEEG_SB_38_20221130_1452_csd,EnTT,-1000 to 0,-0.008523141
VPEEG_SB_38_20221130_1452_csd,EnTT,0 to 1000,-0.014634306
VPEEG_SB_39_20230112_0952_csd,FrTT,-1000 to 0,-0.013644391
VPEEG_SB_39_20230112_0952_csd,FrTT,0 to 1000,-0.023940554
VPEEG_SB_39_20230112_0952_csd,EnTT,-1000 to 0,-0.023761538
VPEEG_SB_39_20230112_0952_csd,EnTT,0 to 1000,-0.038075884
VPEEG_SB_40_20230113_1120_csd,FrTT,-1000 to 0,-0.030984791
VPEEG_SB_40_20230113_1120_csd,FrTT,0 to 1000,-0.019524529
VPEEG_SB_40_20230113_1120_csd,EnTT,-1000 to 0,-0.025035688
VPEEG_SB_40_20230113_1120_csd,EnTT,0 to 1000,-0.026164177
